"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CIEŚLUKOWSKI Cezary - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KOMOROWSKI Marek Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"KIEŁCZEWSKI Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
200100;"augustowski";"podlaskie";54;54;;;
200400;"grajewski";"podlaskie";46;46;;;
200600;"kolneński";"podlaskie";48;48;;;
200700;"łomżyński";"podlaskie";61;61;;;
200800;"moniecki";"podlaskie";43;43;;;
200900;"sejneński";"podlaskie";22;22;;;
201200;"suwalski";"podlaskie";42;42;;;
201400;"zambrowski";"podlaskie";49;49;;;
206200;"Łomża";"podlaskie";32;32;;;
206300;"Suwałki";"podlaskie";38;38;;;
